,reward,session,trial,mean_degree,std_degree,entropy_degree,mean_strenght,std_strenght,entropy_strenght,mean_closeness,std_closeness,entropy_closeness,mean_clustering,std_clustering,entropy_clustering,geodd,smallworld,mean_clustering_midbrain,mean_clustering_basal_ganglia,std_clustering_midbrain,std_clustering_basal_ganglia,mean_degree_midbrain,mean_degree_basal_ganglia,std_degree_midbrain,std_degree_basal_ganglia,mean_strenght_midbrain,mean_strenght_basal_ganglia,std_strenght_midbrain,std_strenght_basal_ganglia,mean_closeness_midbrain,mean_closeness_basal_ganglia,std_closeness_midbrain,std_closeness_basal_ganglia
10,-1.0,30,17,22.175040518638575,15.676588353502346,2.0095540643443486,0.6542640007217148,0.48084531767897704,1.8960790442878799,0.013475614494257982,0.001491966240523404,2.5738854629511145,0.23359009880038928,0.09046480846415772,2.6895869679559965,2.4499094908333157,0.09534641980628257,0.23944578267874264,0.18143073233941776,0.07621017610413286,0.08835707034164114,20.379310344827587,32.088235294117645,11.754423358459272,24.165728017407286,0.6082794850841683,0.9278439952537729,0.3357794362974809,0.7408348946150417,0.013786041346391496,0.014346576220232006,0.0013212289159219809,0.001758894390272551
11,1.0,30,20,34.172413793103445,24.883333876952868,1.8598765137939968,1.1230552989664975,0.8702037293064024,1.810370143421305,0.01756931472828785,0.0021643011228744276,2.676204737689786,0.2952835224311247,0.09806923784141466,2.880352317820518,2.1813654325969596,0.13536637099799628,0.2845183378018504,0.22101215771602525,0.0958294580440989,0.08248294673480955,34.62068965517241,51.66346153846154,25.024696481818406,38.3359668881394,1.1011067717363234,1.6503992066759046,0.8131960732453661,1.33521290865303,0.017470984190281036,0.018787290473233277,0.002270727479492743,0.002561775315926552
12,-1.0,30,21,25.39652448657188,15.252041137266708,1.981903646615963,0.7746161546352834,0.4759295679606679,1.9994193570251517,0.014137865204858104,0.0013882560707405697,2.6233983796661,0.25257062989708806,0.09810968813554949,2.9198574605030516,2.399059131721559,0.10527903483389507,0.2723810245289902,0.18329866303079614,0.10065038219125277,0.08303412793575005,22.848484848484848,33.878787878787875,12.608609882094909,22.078955073024193,0.6944383398227078,0.9778661607286769,0.39165017874065583,0.6631023756961095,0.013912749158114801,0.014704098215255403,0.001379263310668755,0.0015900345282512719
13,-1.0,30,24,29.156666666666666,19.357912823672105,2.037337720051162,0.9469872039598909,0.6687135760777448,1.956161427765179,0.015835591459898202,0.0018733764613132575,2.5726245324037587,0.2859517081111906,0.10462208011893907,2.707864495347089,2.2928269337785196,0.12471578377699426,0.30552021511065847,0.21823220641611707,0.11085313692996761,0.10500231859540861,21.833333333333332,44.13725490196079,7.848920661820677,30.401895972767004,0.7274432155449861,1.3845243482564267,0.288267747432697,1.0247364259958869,0.015124979372126885,0.01693331572328276,0.0015952162085697335,0.0022833270632148625
14,-1.0,30,28,20.44705882352941,13.585278880974462,1.9616408345460745,0.6108001305091577,0.42229173287087796,1.831225732701938,0.013005227571039309,0.0014916094129444064,2.488509534017293,0.2611462002651797,0.11932043662711538,2.8245739333222333,2.5150439973969387,0.10383365083690983,0.26698163671131386,0.17865626029288742,0.13149320062274197,0.0924211453651252,20.566666666666666,29.455445544554454,14.011146356462852,21.704370483126592,0.6310417717569963,0.8457254783222993,0.4587983925225996,0.6806988816301149,0.013223924582776308,0.013869841545985306,0.0015400351430731863,0.0018202501695740122
15,-1.0,30,30,28.519354838709678,19.379518941977807,2.043631322459754,0.9022493497503993,0.6311101891043353,1.9569522122193423,0.015427739757505441,0.0016908241884912236,2.747356869261195,0.2632857525935868,0.09790765280081103,2.834726706062895,2.302803689613841,0.1143326953057546,0.29648610713652873,0.19614158084628938,0.12596715924900306,0.07586620765428789,24.03030303030303,40.86868686868687,11.035712959035916,30.3620065827381,0.7798653605279343,1.2529894059352893,0.33856170545401004,1.0100978676145633,0.01535809204931641,0.01642412336844364,0.001543468959664229,0.0020314446718732904
16,-1.0,30,33,27.76214405360134,16.37102398214005,2.274657444798147,0.8798452258380516,0.5099402413715328,2.267554738828141,0.015152827758191316,0.001421134138137403,2.6069141908990745,0.2705277308032644,0.10241216900069793,2.8959358826119956,2.3135813294661225,0.11693028784325939,0.27377014934178995,0.18283632606143707,0.10938083965010269,0.07028662628408903,27.17142857142857,39.62244897959184,13.165942458340252,24.76852648436278,0.8540708390964872,1.2004059748166755,0.41147313827256127,0.7539229043980717,0.01516370886822921,0.016006803893108715,0.0012234730074915752,0.0016496361016906152
17,-1.0,30,34,37.184615384615384,24.108499814663077,1.7726006918575388,1.4423130170055993,0.8569962131436141,1.8352764492841565,0.020939628523793004,0.002073013266475471,2.53090599563599,0.3439940022615102,0.1151157074337876,3.023786703834496,2.0339261894175187,0.16912806573380332,0.3493690990707972,0.23668895607552506,0.08272198049815972,0.09118211108098187,32.03333333333333,58.364583333333336,10.907133241853954,40.85062213716035,1.2522506118701646,2.1126705291312944,0.4105553807725939,1.464923063399024,0.020228333381164056,0.022424196660986412,0.0015163438769890147,0.00282879620453303
18,1.0,30,35,50.01526717557252,32.91217043651335,2.225583704038879,2.5122870254039342,1.4350862958929749,2.1380554611991003,0.03248553230982558,0.003469266723965616,2.6860988240315242,0.44307264768987825,0.15003203238122065,2.9622087716623433,1.879121877758737,0.23578707317182593,0.4401651521553193,0.34979497969360374,0.09854750299114855,0.14446086875585365,42.86666666666667,72.95454545454545,17.318070202986114,47.780489811340054,2.22427197189126,3.2745033491678415,0.8302572592063566,1.9879091430359361,0.03173911886094748,0.0335869080195679,0.0031059270632544456,0.0036557534167007996
19,-1.0,30,36,29.468599033816425,20.399655742144333,1.8911839775955015,0.9587893609777414,0.693416327852748,1.772194327114851,0.016115560112685542,0.0018777355499313766,2.6387045555741735,0.2743976949967008,0.09495671265895886,2.7741153494860074,2.2751181756791854,0.12060810639640095,0.2759049783637205,0.20823471805175278,0.08593722256214431,0.0863560607544789,26.181818181818183,46.618556701030926,13.576839783705068,35.19619335642517,0.8680961887041804,1.4625638070684972,0.5054288556159802,1.1735466635337204,0.015999627646065495,0.017465743982509364,0.0017102657442584043,0.002255162522770297
20,1.0,30,38,21.148717948717948,15.061132494987163,2.061013513635121,0.6319588502262061,0.47703995571607116,1.9878983631478417,0.013355772840139743,0.001608627611254273,2.8127686267442273,0.24956591669448122,0.1078261143080809,2.7168263520668297,2.47980330172111,0.10063940011744874,0.25746674467962516,0.1840481744005722,0.12571643815553543,0.08588919784213801,24.25,28.78095238095238,18.734993995195193,21.212745922420343,0.7210598799263858,0.8389914823098098,0.5687998005433109,0.6824093186034748,0.013651174533133466,0.014008921702312596,0.001854461172665272,0.0017637571943562
21,-1.0,30,41,16.121396054628224,11.727449112847626,1.909835849687918,0.4596718011314146,0.34589418169050157,1.8751876598959563,0.011263608087993017,0.0013227501774614454,2.6622495870502796,0.23515012701886728,0.1218670151218097,2.4067402630414185,2.719672894825447,0.08646265051443239,0.22090180369960202,0.168602654536384,0.09981237586265265,0.10105757135793324,17.09375,23.60377358490566,13.108583483256306,18.69349561245534,0.501156004760395,0.6678149340822555,0.4070545733545683,0.5515744988597797,0.011415838291521716,0.012113229279662152,0.0015430464176986033,0.0015495513158121311
22,1.0,30,43,50.16103896103896,36.39045170843495,1.9902701061416437,2.700711126289653,1.5158352432741822,2.0926487895601373,0.035394284744704844,0.0033723003661915714,2.609595480796384,0.4839932845532818,0.16248793526099786,3.0488728818555195,1.8705221861471861,0.2587476845437415,0.49109801128472697,0.36759374614944923,0.14307744392715183,0.16451402237977805,44.541666666666664,73.45348837209302,20.956262323123266,52.7523077808294,2.5132110530897998,3.4533202900002333,0.9288857491058505,2.128959479465673,0.03557889206652479,0.03653215606955667,0.0027368927032055523,0.004112546724177114
23,-1.0,30,44,19.635258358662615,13.433980302090628,2.063695552633128,0.5704629756081419,0.4068554019097686,1.928324687543676,0.012568414911816752,0.0013768650188123884,2.654909405019685,0.23948607199028749,0.10993392035154803,2.762748174371315,2.5589883092069043,0.0935862313745819,0.2705624908710788,0.1719600316862161,0.11433622403386465,0.09494357252960704,18.266666666666666,27.901960784313726,9.528670188203366,20.247735193572893,0.528773976994687,0.7998989565728601,0.27283207667739107,0.6289947556033404,0.012607657700634368,0.013422508927865636,0.0012652190881393818,0.0015890955277855323
