,reward,1C,2C,3C,4C,5C,6C,7C,8C,9C,10C,11C,12C,13C,14C
10,-1.0,-0.17131738195308527,-0.054931139305179795,0.2178221311182516,0.04217791880000242,0.025143912511972934,0.3111939644826942,0.09124424896332163,-0.019046072337119607,-0.02155049089046632,0.1382137103841577,0.10762778118289994,0.2765185410128589,-0.029725391068652823,0.2278456269720987
11,-1.0,-0.17765930267049995,-0.08892217956063754,0.10955080619221792,-0.028320258415858585,0.2489848785476511,-0.3423266090024079,-0.02731783426437669,0.07041510461147425,-0.08378368348296462,0.08152419195675437,0.015245213591626523,0.0806955118694196,0.0386208655688975,-0.13916914433945857
12,-1.0,-0.1565609169951626,0.11631932167220654,0.15106514487276915,0.17354630858724518,-0.12594401107765568,0.1448300661692789,0.20940930854771395,-0.03169255485288004,0.1252252132892376,0.05468088844477624,0.10526611717515577,-0.09967346387914482,0.14170575150426232,0.20719902570468374
13,-1.0,-0.3053649901888443,-0.260340673517146,-0.2102247358246694,0.1400811374036725,-0.2007871550690967,-0.0007835081388436048,-0.3213904423215361,-0.16195538418304037,0.32052117786383394,-0.3812417804889195,-0.02529982453739012,-0.2186729944926662,-0.04283066732385586,-0.12185615797061354
14,1.0,0.2994359207683571,-0.03047392978254943,0.2693590924528824,0.16800284273308705,0.0929665290014731,-0.010571471852844544,-0.35884863478939305,0.11280699117598283,0.043816998917219636,-0.05727747773856559,0.12446608075090783,-0.06282082237007842,-0.06495082693186083,-0.04570374141540257
15,-1.0,0.0796257699549781,-0.14196094378522034,-0.17857713998545421,-0.058918682901769985,0.16903786329261805,-0.11235585733691617,0.10602657825305971,-0.17528600842718958,0.0713990253280065,0.11021133351352115,0.03941761519184701,-0.09445458026454463,0.0900630965294498,-0.27316509687662405
16,1.0,0.05317530314426387,-0.0788435742629936,-0.12008012822106202,0.16028590954001345,0.09840007320708838,-0.0016793997822379862,0.07921665432042142,-0.05782789208362275,-0.04607286573071631,-0.0934453051785602,0.1760600417466906,0.02509246956201917,-0.04115675503696721,0.1614782926861449
17,-1.0,0.0927589565955148,0.023961825601092192,-0.1633764093998255,-0.07529453041594712,-0.21615269145795485,-0.15324240090492644,-0.06191071155058085,0.17917806368616362,-0.05361885218026722,0.23668512091899183,-0.1922198425099918,-0.22839328721655108,0.06780566403718248,0.08093975167430631
18,1.0,0.21870156447121003,-0.23847456900771843,0.0246166104633921,0.042117406470885306,0.1993309127632614,-0.26086576692201313,-0.027463250986691282,-0.08390350820395927,0.20447080658906916,0.19432361932395997,0.07961859083315352,-0.0017331655215013198,-0.03458856683666493,0.0367853961528055
19,-1.0,0.10892000039959912,0.017101317794832618,-0.1016339074490368,-0.1686108365971147,0.15724098305258716,0.2025245235664245,0.18765192562792282,-0.00881696996248097,-0.04806835363036418,0.2040818143764782,0.07129493027428421,-0.26313778056519044,-0.2791986007745277,0.023030403340014872
